"Group","AgentID"
"Billing",2374
"Billing",3756
"Billing",2376
"Billing",2357
"Billing",2391
"Billing",2375
"Billing",2345
"Billing",2355
"Commercial Sales",2365
"Commercial Sales",2382
"Commercial Sales",2295
"Commercial Sales",2462
"Commercial Sales",2368
"Commercial Sales",2204
"Commercial Sales",3736
"Commercial Sales",2367
"Commercial Sales",2349
"Commercial Sales",2323
"Commercial Sales",2265
"Commercial Sales",2359
"Commercial Sales",2479
"Commercial Sales",2360
"Commercial Sales",2369
"Commercial Sales",2380
"Commercial Sales",2362
"Commercial Sales",3287
"Commercial Sales",2363
"Commercial Sales",2379
"Commercial Sales",2482
"Computer Patrol",2090
"Computer Patrol",2302
"Computer Patrol",2483
"CSR",3316
"CSR",3754
"CSR",3757
"CSR",3302
"CSR",3031
"CSR",3300
"CSR",3743
"CSR",3310
"CSR",3746
"CSR",3030
"CSR",3741
"CSR",2333
"CSR",3744
"CSR",3352
"CSR",3307
"CSR",3755
"CSR",3745
"CSR",3313
"CSR",3311
"CSR",3317
"CSR",3760
"CSR",3750
"CSR",3312
"CSR",3301
"CSR",3306
"CSR",2364
"CSR",3303
"CSR",3758
"CSR",3033
"CSR",3318
"CSR",3748
"CSR",3820
"CSR",3747
"CSR",3373
"CSR",3315
"CSR",3753
"CSR",3309
"CSR",3742
"CSR",2346
"CSR",3749
"CSR",3752
"CSR",3319
"CSR",2352
"CSR",3751
"CSR",3759
"CSR",3314
"CSR",3032
"CSR",3304
"CSR",3350
"CSR",3305
"CSR",3034
"CSR",3035
"CSR",3036
"CSR",3037
"CSR",3038
"CSR",3039
"CSR",3040
"CSR",3303
"CSR",3308
"NCC",3919
"NCC",2396
"NCC",2390
"NCC",2385
"NCC",3917
"NCC",3918
"NCC",2386
"NCC",3618
"NCC",2389
"NCC",3917
"NCC",2394
"Sales Engineer",2461
"Sales Engineer",2470
"Sales Engineer",2404
"Sales Engineer",2405
"Sales Engineer",2474
"Sales Engineer",2407
"Sales Engineer",2377
"Sales Engineer",2477
"Sales Engineer",2464
"Sales Engineer",2489
"Sales Engineer",2450
"TSR",3331
"TSR",3791
"TSR",3377
"TSR",3369
"TSR",3336
"TSR",3325
"TSR",3796
"TSR",3340
"TSR",2406
"TSR",3797
"TSR",3329
"TSR",3327
"TSR",3326
"TSR",3346
"TSR",3322
"TSR",3814
"TSR",2384
"TSR",3337
"TSR",3817
"TSR",3321
"TSR",3810
"TSR",3793
"TSR",2388
"TSR",2366
"TSR",3790
"TSR",3371
"TSR",3799
"TSR",3379
"TSR",3813
"TSR",3339
"TSR",3816
"TSR",3341
"TSR",3344
"TSR",2681
"TSR",3323
"TSR",3370
"TSR",3330
"TSR",3812
"TSR",3795
"TSR",3819
"TSR",3349
"TSR",2347
"TSR",3328
"TSR",2381
"TSR",2373
"TSR",3343
"TSR",3335
"TSR",3324
"TSR",3342
"TSR",3338
"TSR",3347
"TSR",3798
"TSR",3376
"TSR",3794
"TSR",3378
"TSR",3815
"TSR",3348
"TSR",2371
"TSR",3345
"CSR",3374
"TSR",3375
" ",2681
NA,3333
NA,3792
NA,3372
"TSR",3818
NA,3334
NA,3332
NA,3381
NA,2497
NA,3020
NA,3021
NA,3022
NA,3023
NA,3023
NA,3024
NA,3025
NA,3026
NA,3027
NA,3028
NA,3905
